Data from Matlab    Data from Simulation    Results
0000000028C25AA9    0000000028C25AA9        TRUE      
FFFFFFFFB7FB4EE1    FFFFFFFFB7FB4EE1        TRUE      
0000000056C02281    0000000056C02281        TRUE      
FFFFFFFF6AB5F821    FFFFFFFF6AB5F821        TRUE      
000000001FF4F405    000000001FF4F405        TRUE      
000000009317FF54    000000009317FF54        TRUE      
FFFFFFFFED767124    FFFFFFFFED767124        TRUE      
000000006E02DD00    000000006E02DD00        TRUE      
FFFFFFFFF9042C76    FFFFFFFFF9042C76        TRUE      
FFFFFFFFF4568A8D    FFFFFFFFF4568A8D        TRUE      
0000000022A0B28C    0000000022A0B28C        TRUE      
FFFFFFFFD7C05EA4    FFFFFFFFD7C05EA4        TRUE      
0000000074FFBA7F    0000000074FFBA7F        TRUE      
FFFFFFFFA542BFDF    FFFFFFFFA542BFDF        TRUE      
FFFFFFFFDA18E2C5    FFFFFFFFDA18E2C5        TRUE      
FFFFFFFFB48D1A72    FFFFFFFFB48D1A72        TRUE      
FFFFFFFF425BFB5D    FFFFFFFF425BFB5D        TRUE      
FFFFFFFEAA8E0B3D    FFFFFFFEAA8E0B3D        TRUE      
000000009E88ED3A    000000009E88ED3A        TRUE      
0000000044AF4004    0000000044AF4004        TRUE      
FFFFFFFFCFA80876    FFFFFFFFCFA80876        TRUE      
000000008982A562    000000008982A562        TRUE      
FFFFFFFF9ACBBE63    FFFFFFFF9ACBBE63        TRUE      
000000007F8AF60B    000000007F8AF60B        TRUE      
000000008082F04B    000000008082F04B        TRUE      
FFFFFFFFDBA64F9A    FFFFFFFFDBA64F9A        TRUE      
000000004A42123F    000000004A42123F        TRUE      
FFFFFFFFD28012C2    FFFFFFFFD28012C2        TRUE      
0000000041F1C939    0000000041F1C939        TRUE      
00000000DA174BB6    00000000DA174BB6        TRUE      
0000000009A8C4AC    0000000009A8C4AC        TRUE      
000000001BD8E922    000000001BD8E922        TRUE      
FFFFFFFFC962361D    FFFFFFFFC962361D        TRUE      
